Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;26-12-2013;5:22:55;;;;;;;;;;;;;
Selectie;Factuurdatum;van;25-12-2013;Tot en met;25-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;488747;11-1-2014;1.524,73;FLIGHT;Vliegticket;2,20463E+12;25-12-2013;2IHJLKM;MEX/FRA/BKK/FRA/MEX;LH;;;20-1-2014;N;BKK
3;488747;11-1-2014;1.524,73;FLIGHT;Vliegticket;2,20463E+12;25-12-2013;2IHJLKM;MEX/FRA/BKK/FRA/MEX;LH;;;20-1-2014;N;BKK
3;488774;12-4-2014;60,4;FLIGHT;Vliegticket;5,54634E+11;25-12-2013;2V5VW9M;FCO/BRI;AZ;;;12-4-2014;N;BRI
3;488754;30-12-2013;171,56;FLIGHT;Vliegticket;L215261L002;25-12-2013;215261L;LTN/AMS;U2;;;30-12-2013;N;AMS
3;488754;30-12-2013;153,76;FLIGHT;Vliegticket;L215261L003;25-12-2013;215261L;LTN/AMS;U2;;;30-12-2013;N;AMS
3;488754;25-12-2013;53;OVERIGE;Boekingskosten;;;;;;;;25-12-2013;N;
3;488765;11-2-2014;289,17;FLIGHT;Vliegticket;2,35463E+12;25-12-2013;2VZGLVM;AMS/IST/ECN/***/ADB/SAW/AMS;TK;;;23-4-2014;N;ECN
3;488765;25-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;25-12-2013;N;
3;488765;25-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;25-12-2013;N;
3;488711;25-4-2014;68,4;AUTOHUUR;Autohuur;;;02S6Z9;;;;;27-4-2014;N;
3;488711;25-4-2014;90,04;FLIGHT;Vliegticket;8,24634E+11;25-12-2013;2O2O6TM;BRU/NCE/BRU;SN;;;27-4-2014;N;NCE
3;488711;25-4-2014;90,04;FLIGHT;Vliegticket;8,24634E+11;25-12-2013;2O2O6TM;BRU/NCE/BRU;SN;;;27-4-2014;N;NCE
3;488711;25-4-2014;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;25-4-2014;N;
3;488711;25-12-2013;25;OVERIGE;Boekingskosten;;;;;;;;25-12-2013;N;
3;488770;20-2-2014;166,17;FLIGHT;Vliegticket;6,57463E+12;25-12-2013;2V95TOM;AMS/CPH/HEL/RIX/AMS;BT;;;24-2-2014;N;HEL
3;488770;25-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;25-12-2013;N;
3;488749;18-2-2014;165,31;FLIGHT;Vliegticket;L215253L002;25-12-2013;215253L;AMS/BFS/AMS;U2;;;21-2-2014;N;BFS
3;488749;18-2-2014;130,71;FLIGHT;Vliegticket;L215253L003;25-12-2013;215253L;AMS/BFS/AMS;U2;;;21-2-2014;N;BFS
3;488749;25-12-2013;53;OVERIGE;Boekingskosten;;;;;;;;25-12-2013;N;
3;488760;23-4-2014;1.890,06;FLIGHT;Vliegticket;14634009518;25-12-2013;2VGWPJM;AMS/LHR/MIA/***/AUA/MIA/LHR/AM;AA;;;8-5-2014;N;AUA
3;488762;26-4-2014;313,71;FLIGHT;Vliegticket;14634009533;25-12-2013;2VS4XAM;MCO/MIA/AUA;AA;;;27-4-2014;N;AUA
3;488741;31-5-2014;743,06;FLIGHT;Vliegticket;14634008846;25-12-2013;2UFXWLM;AMS/LHR/MIA/***/AUA/MIA/LHR/AM;AA;;;2-9-2014;N;AUA
3;488741;31-5-2014;743,06;FLIGHT;Vliegticket;14634008850;25-12-2013;2UFXWLM;AMS/LHR/MIA/***/AUA/MIA/LHR/AM;AA;;;2-9-2014;N;AUA
3;488741;31-5-2014;667,06;FLIGHT;Vliegticket;14634008856;25-12-2013;2UFXWLM;AMS/LHR/MIA/***/AUA/MIA/LHR/AM;AA;;;2-9-2014;N;AUA
3;488741;31-5-2014;667,06;FLIGHT;Vliegticket;14634008854;25-12-2013;2UFXWLM;AMS/LHR/MIA/***/AUA/MIA/LHR/AM;AA;;;2-9-2014;N;AUA
3;488741;31-5-2014;743,06;FLIGHT;Vliegticket;14634008848;25-12-2013;2UFXWLM;AMS/LHR/MIA/***/AUA/MIA/LHR/AM;AA;;;2-9-2014;N;AUA
3;488741;31-5-2014;667,06;FLIGHT;Vliegticket;14634008852;25-12-2013;2UFXWLM;AMS/LHR/MIA/***/AUA/MIA/LHR/AM;AA;;;2-9-2014;N;AUA
3;488743;14-6-2014;202,71;FLIGHT;Vliegticket;14634008871;25-12-2013;2TYY34M;MCO/MIA/AUA;AA;;;14-6-2014;N;AUA
3;488743;14-6-2014;202,71;FLIGHT;Vliegticket;14634008873;25-12-2013;2TYY34M;MCO/MIA/AUA;AA;;;14-6-2014;N;AUA
3;488743;14-6-2014;202,71;FLIGHT;Vliegticket;14634008876;25-12-2013;2TYY34M;MCO/MIA/AUA;AA;;;14-6-2014;N;AUA
3;488743;14-6-2014;202,71;FLIGHT;Vliegticket;14634008875;25-12-2013;2TYY34M;MCO/MIA/AUA;AA;;;14-6-2014;N;AUA
3;488743;14-6-2014;202,71;FLIGHT;Vliegticket;14634008872;25-12-2013;2TYY34M;MCO/MIA/AUA;AA;;;14-6-2014;N;AUA
3;488743;14-6-2014;202,71;FLIGHT;Vliegticket;14634008874;25-12-2013;2TYY34M;MCO/MIA/AUA;AA;;;14-6-2014;N;AUA
